epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1743,1.01011,3.5953,0.95455,0.00694,1,0.03463,0.01944,1.27486,3.14845,1.26958,6e-05,6e-05,6e-05
2,20.6387,0.93711,3.16454,0.91884,0.00771,1,0.0469,0.02449,1.38799,3.10973,1.36863,0.00013538,0.00013538,0.00013538
3,29.0185,1.03624,2.07338,0.90039,0.00786,1,0.05316,0.03241,1.16696,2.9232,1.25081,0.00020548,0.00020548,0.00020548
4,37.66,0.87914,1.1649,0.8593,0.00803,1,0.98553,0.60761,1.20674,2.48174,1.31749,0.0002703,0.0002703,0.0002703
5,45.9506,0.8316,1.16555,0.85967,0.0501,1,0.9855,0.59116,1.28542,2.28713,1.37148,0.00032984,0.00032984,0.00032984
6,54.2384,0.83987,1.12949,0.87654,0.04235,1,0.98543,0.62229,1.19635,2.36226,1.28506,0.0003841,0.0003841,0.0003841
7,62.6228,0.91472,1.11352,0.86119,0.00798,1,0.71951,0.45398,1.17393,2.56262,1.21149,0.00043308,0.00043308,0.00043308
8,70.8332,0.82245,0.97344,0.84518,0.00752,1,0.11713,0.06857,1.18117,2.63483,1.11461,0.00047678,0.00047678,0.00047678
9,79.1592,0.88147,0.92532,0.88935,0.00704,1,0.70382,0.40751,1.25808,2.55211,1.22657,0.0005152,0.0005152,0.0005152
10,87.4827,0.80513,0.89202,0.88425,0.00698,1,0.9554,0.56115,1.27517,2.34569,1.33326,0.00054834,0.00054834,0.00054834
11,95.6869,0.75692,0.8345,0.83701,0.75201,0.9603,0.96034,0.60001,1.24773,2.18648,1.33034,0.0005762,0.0005762,0.0005762
12,104.771,0.87518,0.8634,0.90441,0.5873,0.21358,0.58297,0.33642,1.31061,2.22773,1.33841,0.00059878,0.00059878,0.00059878
13,113.097,0.88602,0.83553,0.89593,0.15282,0.96667,0.26372,0.1434,1.34313,2.36067,1.34899,0.00061608,0.00061608,0.00061608
14,121.318,0.77433,0.79978,0.85591,0.03444,1,0.18742,0.10657,1.29353,2.39537,1.31371,0.0006281,0.0006281,0.0006281
15,129.652,0.81347,0.85385,0.89957,0.23239,0.71667,0.22766,0.14085,1.25538,2.05243,1.27751,0.00063484,0.00063484,0.00063484
16,137.972,0.82143,0.82402,0.86757,0.1194,0.83333,0.12178,0.07395,1.30607,2.80199,1.30979,0.0006363,0.0006363,0.0006363
17,146.378,0.87309,0.82001,0.88775,0.09603,0.86667,0.09917,0.05885,1.36104,3.94221,1.34224,0.00063248,0.00063248,0.00063248
18,154.695,0.90557,0.77783,0.9054,0.16531,0.80874,0.17374,0.09817,1.40408,2.08163,1.36117,0.00062338,0.00062338,0.00062338
19,163.093,0.7571,0.74558,0.88363,0.09797,0.98333,0.10068,0.05632,1.41248,3.08838,1.35382,0.000609,0.000609,0.000609
20,171.523,0.74257,0.81272,0.8679,0.13558,0.98333,0.13615,0.07698,1.38075,2.42053,1.33479,0.00058934,0.00058934,0.00058934
21,179.93,0.7774,0.86021,0.85604,0.6594,0.91667,0.81452,0.47501,1.30833,1.69378,1.27969,0.0005644,0.0005644,0.0005644
22,188.175,0.73388,0.8326,0.83182,0.24797,0.96667,0.25066,0.144,1.32799,2.06231,1.29204,0.00053418,0.00053418,0.00053418
23,196.345,0.7594,0.93335,0.87468,1,0.99608,0.995,0.58122,1.34977,1.71821,1.31622,0.00049868,0.00049868,0.00049868
24,204.484,0.78632,0.81345,0.85957,0.99379,1,0.995,0.57274,1.38371,1.47834,1.3517,0.0004579,0.0004579,0.0004579
25,212.815,0.74099,0.84028,0.85909,0.99575,1,0.995,0.56968,1.36396,1.3591,1.3378,0.00041184,0.00041184,0.00041184
26,221.19,0.68255,0.74771,0.8424,0.99594,1,0.995,0.58109,1.34217,1.26144,1.3275,0.00035,0.00035,0.00035
27,229.361,0.6808,0.77925,0.8335,0.99609,1,0.995,0.59215,1.33921,1.20156,1.32596,0.000284,0.000284,0.000284
28,237.586,0.70357,0.7499,0.82877,0.99621,1,0.995,0.59562,1.33392,1.16934,1.32062,0.000218,0.000218,0.000218
29,246.03,0.67796,0.74127,0.83473,0.99683,1,0.995,0.60066,1.31878,1.10645,1.31195,0.000152,0.000152,0.000152
30,254.25,0.64445,0.70413,0.82443,0.99747,1,0.995,0.60496,1.31445,1.02376,1.30607,8.6e-05,8.6e-05,8.6e-05
