epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0631,0.53965,3.18306,0.92259,0.00333,1,0.92175,0.51113,1.33861,3.10029,1.33241,2e-05,2e-05,2e-05
2,51.928,0.58505,3.00161,0.92568,0.00333,1,0.99484,0.57817,1.30564,3.06847,1.30426,5.703e-05,5.703e-05,5.703e-05
3,77.3976,0.6867,2.70594,0.91417,0.00333,1,0.995,0.60883,1.25569,2.98683,1.29306,9.01e-05,9.01e-05,9.01e-05
4,100.574,0.49998,1.97922,0.83956,0.00333,1,0.995,0.6349,1.19676,2.88629,1.28858,0.00011921,0.00011921,0.00011921
5,129.481,0.75142,1.42656,0.99796,0.00333,1,0.995,0.62399,1.2488,2.70153,1.33202,0.00014436,0.00014436,0.00014436
6,156.92,0.62621,1.19612,0.9237,0.84646,1,0.995,0.63786,1.21643,2.50217,1.32221,0.00016555,0.00016555,0.00016555
7,176.735,0.64845,1.20273,0.90178,1,0.8797,0.995,0.65042,1.21701,2.38212,1.31096,0.00018278,0.00018278,0.00018278
8,196.908,0.74813,1.1087,0.92605,1,0.8646,0.995,0.62263,1.25711,2.38263,1.32848,0.00019605,0.00019605,0.00019605
9,216.244,0.76113,1.44849,0.86724,1,0.86766,0.995,0.62153,1.28033,2.37017,1.35184,0.00020536,0.00020536,0.00020536
10,236.222,0.68761,1.24058,0.92508,1,0.80312,0.995,0.62614,1.26695,2.4098,1.32488,0.00021071,0.00021071,0.00021071
11,255.965,0.58458,1.41432,0.84746,1,0.81891,0.995,0.62845,1.26025,2.50082,1.30148,0.0002121,0.0002121,0.0002121
12,275.148,0.62991,1.44292,0.86647,0.99161,1,0.995,0.64055,1.21211,2.60609,1.24327,0.00020953,0.00020953,0.00020953
13,294.208,0.60273,1.43627,0.82671,0.56949,1,0.995,0.63805,1.16264,2.65655,1.20044,0.000203,0.000203,0.000203
14,313.146,0.53729,1.36755,0.8201,0.98572,1,0.995,0.62607,1.18895,2.6485,1.21292,0.00019251,0.00019251,0.00019251
15,332.3,0.48401,1.33981,0.86605,0.99535,1,0.995,0.62104,1.2368,2.61973,1.24085,0.00017806,0.00017806,0.00017806
16,351.639,0.58146,1.36524,0.9006,1,0.99409,0.995,0.61323,1.2727,2.58436,1.25675,0.00015965,0.00015965,0.00015965
17,370.554,0.61961,1.31726,0.91298,1,0.94231,0.995,0.59639,1.32018,2.52771,1.28489,0.00013728,0.00013728,0.00013728
18,389.335,0.67247,1.37762,0.85503,1,0.91945,0.995,0.59406,1.34394,2.47342,1.30018,0.00011095,0.00011095,0.00011095
19,408.216,0.55255,1.29222,0.86749,1,0.91829,0.995,0.59892,1.33994,2.43232,1.29991,8.066e-05,8.066e-05,8.066e-05
20,426.637,0.62844,1.28452,0.9222,1,0.92645,0.995,0.60091,1.334,2.39819,1.29375,4.641e-05,4.641e-05,4.641e-05
