epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4035,0.53965,3.18306,0.92259,0.00333,1,0.92175,0.51113,1.33861,3.10029,1.33241,2e-05,2e-05,2e-05
2,54.2995,0.58426,3.00004,0.92538,0.00333,1,0.995,0.5788,1.30591,3.06745,1.30447,5.802e-05,5.802e-05,5.802e-05
3,76.8763,0.68676,2.69971,0.91384,0.00333,1,0.995,0.60882,1.25548,2.98009,1.29333,9.34e-05,9.34e-05,9.34e-05
4,97.8019,0.50499,1.94223,0.84217,0.00333,1,0.995,0.63609,1.19868,2.87391,1.29709,0.00012614,0.00012614,0.00012614
5,119.787,0.76916,1.39586,1.00373,0.00333,1,0.995,0.62754,1.24773,2.6744,1.33981,0.00015624,0.00015624,0.00015624
6,145.712,0.6443,1.18713,0.92922,0.99487,1,0.995,0.64567,1.22524,2.4495,1.32598,0.0001837,0.0001837,0.0001837
7,169.512,0.65909,1.19703,0.90754,1,0.89361,0.995,0.64036,1.24237,2.3013,1.32374,0.00020852,0.00020852,0.00020852
8,189.34,0.74822,1.09282,0.92593,1,0.85148,0.995,0.62769,1.26626,2.34477,1.32592,0.0002307,0.0002307,0.0002307
9,210.305,0.791,1.43983,0.87011,1,0.80106,0.995,0.61474,1.25869,2.38478,1.32066,0.00025024,0.00025024,0.00025024
10,232.384,0.71202,1.22737,0.90841,1,0.7555,0.995,0.63237,1.23866,2.50279,1.28786,0.00026714,0.00026714,0.00026714
11,253.987,0.69805,1.10989,0.88856,0.99494,1,0.995,0.63076,1.21272,2.60819,1.25326,0.0002814,0.0002814,0.0002814
12,273.809,0.6484,1.26802,0.89815,0.99385,1,0.995,0.62115,1.22336,2.65752,1.25249,0.00029302,0.00029302,0.00029302
13,295.473,0.7681,1.23809,0.91538,1,0.81664,0.995,0.60816,1.29249,2.59669,1.30502,0.000302,0.000302,0.000302
14,317.224,0.75252,1.07367,0.89159,1,0.7922,0.995,0.59388,1.35931,2.5023,1.37052,0.00030834,0.00030834,0.00030834
15,339.336,0.78241,1.18917,0.92733,1,0.85499,0.995,0.57973,1.37719,2.4109,1.4007,0.00031204,0.00031204,0.00031204
16,361.867,0.63222,0.97276,0.88818,1,0.91725,0.995,0.56933,1.40047,2.33218,1.42983,0.0003131,0.0003131,0.0003131
17,384.592,0.74615,1.10543,0.98498,1,0.92001,0.995,0.57281,1.38183,2.29678,1.4221,0.00031152,0.00031152,0.00031152
18,406.64,0.66957,0.97717,0.87054,1,0.9258,0.995,0.59437,1.32388,2.27748,1.37529,0.0003073,0.0003073,0.0003073
19,427.994,0.66495,1.27786,0.94109,1,0.92443,0.995,0.62033,1.28372,2.29183,1.34628,0.00030044,0.00030044,0.00030044
20,449.497,0.54629,0.93562,0.84611,1,0.91726,0.995,0.61401,1.27089,2.33457,1.32651,0.00029094,0.00029094,0.00029094
21,471.185,0.57392,1.29712,0.88078,1,0.93387,0.995,0.61897,1.26593,2.34145,1.31057,0.0002788,0.0002788,0.0002788
22,496.071,0.60565,1.27188,0.87557,1,0.94132,0.99484,0.63188,1.22489,2.31342,1.27686,0.00026402,0.00026402,0.00026402
23,517.607,0.66591,1.28112,0.91972,1,0.95169,0.99434,0.63861,1.21568,2.28339,1.2756,0.0002466,0.0002466,0.0002466
24,539.694,0.55065,1.28853,0.79104,1,0.96296,0.99484,0.63035,1.23108,2.23605,1.28841,0.00022654,0.00022654,0.00022654
25,561.48,0.55474,1.23975,0.81106,1,0.97852,0.995,0.62577,1.24349,2.19276,1.30031,0.00020384,0.00020384,0.00020384
26,581.966,0.56761,1.22347,0.85152,0.99936,1,0.995,0.61337,1.28286,2.14683,1.32696,0.0001785,0.0001785,0.0001785
27,603.293,0.61745,1.21563,0.90644,0.99408,1,0.995,0.60823,1.30814,2.07752,1.33868,0.00015052,0.00015052,0.00015052
28,625.741,0.49664,1.17443,0.81,0.99408,1,0.995,0.60823,1.30814,2.07752,1.33868,0.0001199,0.0001199,0.0001199
29,647.767,0.58246,1.21061,0.83364,0.9942,1,0.995,0.60889,1.31333,2.00705,1.34451,8.664e-05,8.664e-05,8.664e-05
30,670.035,0.51325,1.20996,0.82186,0.99476,1,0.995,0.60855,1.31652,1.94435,1.34293,5.074e-05,5.074e-05,5.074e-05
