epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.9308,0.83258,3.68813,0.9098,0.00333,1,0.995,0.55222,1.35369,3.09473,1.3521,6e-05,6e-05,6e-05
2,91.4769,0.7621,3.06344,0.89495,0.00333,1,0.995,0.56337,1.40254,2.90515,1.41119,0.00013538,0.00013538,0.00013538
3,117.181,0.90174,1.71324,0.887,0.00333,1,0.97793,0.62665,1.25208,2.69101,1.27138,0.00020548,0.00020548,0.00020548
4,142.978,0.84096,1.61575,0.86702,0.77079,0.91667,0.93235,0.53415,1.31315,2.66773,1.3092,0.0002703,0.0002703,0.0002703
5,169.302,0.7826,1.46636,0.87639,0.6457,1,0.92382,0.54001,1.28063,2.73152,1.29309,0.00032984,0.00032984,0.00032984
6,194.783,0.76532,1.4964,0.89546,0.00333,1,0.94817,0.58938,1.16035,2.75756,1.22366,0.0003841,0.0003841,0.0003841
7,234.938,0.80402,1.58718,0.90681,0.00333,1,0.96487,0.56928,1.26578,2.79989,1.27294,0.00043308,0.00043308,0.00043308
8,265.084,0.73666,1.31595,0.87191,0.00333,1,0.99021,0.57209,1.29978,2.80402,1.2877,0.00047678,0.00047678,0.00047678
9,294.675,0.78263,1.2977,0.90041,0.01083,1,0.98985,0.6129,1.19033,2.7334,1.26635,0.0005152,0.0005152,0.0005152
10,335.946,0.77763,1.31165,0.93126,1,0.8217,0.989,0.6148,1.21336,2.65713,1.34046,0.00054834,0.00054834,0.00054834
11,377.643,0.76486,1.26716,0.88851,0.38584,0.96667,0.93206,0.60188,1.19119,2.88662,1.34409,0.0005762,0.0005762,0.0005762
12,404.982,0.83558,1.32729,0.95431,1,0.50735,0.88241,0.55262,1.174,2.91573,1.29822,0.00059878,0.00059878,0.00059878
13,431.731,0.76715,1.29428,0.90239,0.01115,1,0.75334,0.47724,1.18777,3.13497,1.36584,0.00061608,0.00061608,0.00061608
14,458.365,0.74015,1.29667,0.89342,0.97441,0.63472,0.81779,0.49855,1.19149,3.09621,1.3474,0.0006281,0.0006281,0.0006281
15,485.02,0.77198,1.2919,0.93501,1,0.72919,0.9729,0.61855,1.22252,2.62549,1.30602,0.00063484,0.00063484,0.00063484
16,513.259,0.83925,1.24642,0.91058,1,0.84714,0.98783,0.62805,1.24192,2.45653,1.2942,0.0006363,0.0006363,0.0006363
17,556.022,0.84214,1.31504,0.9197,0.98082,0.8522,0.98677,0.6103,1.29456,2.52566,1.31134,0.00063248,0.00063248,0.00063248
18,582.962,0.85573,1.14258,0.93107,1,0.62246,0.90268,0.52068,1.42011,2.92753,1.40629,0.00062338,0.00062338,0.00062338
19,610.652,0.78082,1.0758,0.9217,0.91074,0.63333,0.86659,0.47422,1.52271,2.9476,1.47074,0.000609,0.000609,0.000609
20,636.686,0.70873,1.19638,0.88503,0.84572,0.7,0.88111,0.48845,1.44175,2.86442,1.44071,0.00058934,0.00058934,0.00058934
21,663.13,0.75861,1.37996,0.89219,0.94924,0.62339,0.8827,0.51102,1.46975,3.24601,1.54808,0.0005644,0.0005644,0.0005644
22,689.013,0.72758,1.52504,0.87661,0.95556,0.71679,0.91969,0.561,1.40323,3.07992,1.56471,0.00053418,0.00053418,0.00053418
23,715.071,0.75232,1.591,0.93045,0.95004,0.83333,0.94677,0.57035,1.40679,2.73739,1.61219,0.00049868,0.00049868,0.00049868
24,740.843,0.74129,1.37984,0.89996,0.98121,0.87025,0.97111,0.58287,1.40077,2.5038,1.58437,0.0004579,0.0004579,0.0004579
25,766.84,0.75233,1.30196,0.92818,0.98522,0.86667,0.97339,0.58846,1.38372,2.51511,1.5476,0.00041184,0.00041184,0.00041184
26,792.733,0.64087,1.28104,0.88529,0.98303,0.96532,0.99173,0.60047,1.35896,2.27679,1.5393,0.00035,0.00035,0.00035
27,818.613,0.69801,1.47552,0.87757,1,0.99615,0.995,0.60476,1.35057,2.10283,1.54755,0.000284,0.000284,0.000284
28,844.511,0.7076,1.27558,0.87652,1,0.99839,0.995,0.59773,1.33055,1.92642,1.57913,0.000218,0.000218,0.000218
29,873.738,0.67194,1.30144,0.86208,0.9988,1,0.995,0.5938,1.32413,1.78024,1.63434,0.000152,0.000152,0.000152
30,899.343,0.64391,1.23607,0.90705,0.99873,1,0.995,0.5933,1.3335,1.68713,1.6789,8.6e-05,8.6e-05,8.6e-05
